1720727447,StartEvent,6175066964964812833
1720727447,GraphDifficEvent,6175066964964812833
1720727447,GraphDifficEvent,6175066964964812833
1720727447,DDAGraphActEvent,6175066964964812833
1720727447,LevelDifficultyEvent,6175066964964812833,HARD
1720727484,StartLevelEvent,6175066964964812833,1,"Level3"
1720727577,LostHealthEvent,6175066964964812833,"1"
1720727577,LevelCompletedEvent,6175066964964812833
1720727577,EndLevelEvent,6175066964964812833,1,"Level3"
1720727578,StartLevelEvent,6175066964964812833,2,"Level5"
1720727634,LostHealthEvent,6175066964964812833,"0"
1720727634,LevelCompletedEvent,6175066964964812833
1720727634,EndLevelEvent,6175066964964812833,2,"Level5"
1720727635,StartLevelEvent,6175066964964812833,3,"Level2"
1720727656,BulletDodgedEvent,6175066964964812833
1720727673,BulletDodgedEvent,6175066964964812833
1720727695,LostHealthEvent,6175066964964812833,"2"
1720727695,LevelCompletedEvent,6175066964964812833
1720727695,EndLevelEvent,6175066964964812833,3,"Level2"
1720727696,StartLevelEvent,6175066964964812833,4,"Level4"
1720727754,LostHealthEvent,6175066964964812833,"2"
1720727754,LevelCompletedEvent,6175066964964812833
1720727754,EndLevelEvent,6175066964964812833,4,"Level4"
1720727755,StartLevelEvent,6175066964964812833,5,"Level1"
1720727823,LostHealthEvent,6175066964964812833,"3"
1720727823,LevelCompletedEvent,6175066964964812833
1720727823,EndLevelEvent,6175066964964812833,5,"Level1"
1720727824,StartLevelEvent,6175066964964812833,6,"Level3"
1720727899,LostHealthEvent,6175066964964812833,"4"
1720727899,LevelCompletedEvent,6175066964964812833
1720727899,EndLevelEvent,6175066964964812833,6,"Level3"
1720727900,StartLevelEvent,6175066964964812833,7,"Level5"
1720727945,PlayerDeathEvent,6175066964964812833,"-0,7663985","-8,322525"
1720727946,EndLevelEvent,6175066964964812833,7,"Level5"
1720727953,EndEvent,6175066964964812833
