1725218012,StartEvent,3813816249896703168
1725218012,GraphDifficEvent,3813816249896703168
1725218012,GraphDifficEvent,3813816249896703168
1725218012,DDAGraphActEvent,3813816249896703168
1725218012,LevelDifficultyEvent,3813816249896703168,EASY
1725218385,StartLevelEvent,3813816249896703168,1,"Level5"
1725218474,LostHealthEvent,3813816249896703168,"2"
1725218474,LevelCompletedEvent,3813816249896703168
1725218474,EndLevelEvent,3813816249896703168,1,"Level5"
1725218475,StartLevelEvent,3813816249896703168,2,"Level4"
1725218559,LostHealthEvent,3813816249896703168,"0"
1725218559,LevelCompletedEvent,3813816249896703168
1725218559,EndLevelEvent,3813816249896703168,2,"Level4"
1725218560,StartLevelEvent,3813816249896703168,3,"Level3"
1725218634,LostHealthEvent,3813816249896703168,"0"
1725218634,LevelCompletedEvent,3813816249896703168
1725218634,EndLevelEvent,3813816249896703168,3,"Level3"
1725218635,StartLevelEvent,3813816249896703168,4,"Level2"
1725218707,LostHealthEvent,3813816249896703168,"2"
1725218707,LevelCompletedEvent,3813816249896703168
1725218707,EndLevelEvent,3813816249896703168,4,"Level2"
1725218708,StartLevelEvent,3813816249896703168,5,"Level1"
1725218778,LostHealthEvent,3813816249896703168,"1"
1725218778,LevelCompletedEvent,3813816249896703168
1725218778,EndLevelEvent,3813816249896703168,5,"Level1"
1725218779,StartLevelEvent,3813816249896703168,6,"Level5"
1725218857,LostHealthEvent,3813816249896703168,"4"
1725218857,LevelCompletedEvent,3813816249896703168
1725218857,EndLevelEvent,3813816249896703168,6,"Level5"
1725218858,StartLevelEvent,3813816249896703168,7,"Level4"
1725218922,LostHealthEvent,3813816249896703168,"8"
1725218922,LevelCompletedEvent,3813816249896703168
1725218922,EndLevelEvent,3813816249896703168,7,"Level4"
1725218923,StartLevelEvent,3813816249896703168,8,"Level3"
1725219011,LostHealthEvent,3813816249896703168,"2"
1725219011,LevelCompletedEvent,3813816249896703168
1725219011,EndLevelEvent,3813816249896703168,8,"Level3"
1725219012,StartLevelEvent,3813816249896703168,9,"Level2"
1725219079,LostHealthEvent,3813816249896703168,"2"
1725219079,LevelCompletedEvent,3813816249896703168
1725219079,EndLevelEvent,3813816249896703168,9,"Level2"
1725219080,StartLevelEvent,3813816249896703168,10,"Level5"
1725219159,PlayerDeathEvent,3813816249896703168,"-1,735006","-4,728228"
1725219160,EndLevelEvent,3813816249896703168,10,"Level5"
1725219164,EndEvent,3813816249896703168
